name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
CHEVROLET Equinox,2013,15792,149445 km,Petrol,Individual,Automatic,Second Owner
MITSUBISHI Pajero Sport,2019,9483600,6000 km,Petrol,Dealer,Tiptronic,Second Owner
MERCEDES-BENZ Viano,2007,10080,140000 km,Diesel,Dealer,Automatic,First Owner
FORD Fusion,2011,1264452,154000 km,Hybrid,Individual,Automatic,First Owner
MERCEDES-BENZ Vito,2006,4346664,32000 km,Diesel,Individual,Manual,Second Owner
LINCOLN MKZ,2013,3161172,82817 km,Hybrid,Dealer,Variator,Second Owner
BMW 528,2011,1580628,107000 km,Petrol,Individual,Tiptronic,First Owner
HYUNDAI Tucson,2015,3322956,89423 km,Diesel,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Tucson,2014,2943864,117856 km,Diesel,Dealer,Automatic,Third Owner
HYUNDAI Santa FE,2011,1106448,72366 km,Diesel,Dealer,Automatic,Third Owner
TOYOTA Tundra,2015,131712,128000 km,Petrol,Individual,Automatic,Third Owner
HONDA FIT,2013,948360,120000 km,Petrol,Dealer,Variator,Second Owner
CHEVROLET Cruze,2014,52668,201974 km,Petrol,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Santa FE,2010,1844052,174000 km,Diesel,Individual,Automatic,First Owner
TOYOTA Prius,2008,2940,999999 km,Hybrid,Individual,Automatic,Fourth & Above Owner
CHEVROLET Malibu,2014,2235492,121800 km,Petrol,Individual,Automatic,Fourth & Above Owner
HONDA Civic,2018,2930676,16125 km,Petrol,Individual,Automatic,Third Owner
LEXUS GX 470,2010,3371928,357246 km,Petrol,Dealer,Automatic,First Owner
HYUNDAI Santa FE,2020,8140860,21 km,Petrol,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Elantra,2011,184380,308501 km,Petrol,Dealer,Automatic,First Owner
CHEVROLET Cruze strocna,2014,1185492,82000 km,Petrol,Dealer,Automatic,Second Owner
CHEVROLET Cruze,2014,447804,45680 km,Petrol,Individual,Automatic,Third Owner
TOYOTA Prius,2013,52668,0 km,Hybrid,Dealer,Automatic,First Owner
MINI Countryman S,2014,3635352,53440 km,Petrol,Dealer,Tiptronic,Second Owner
TOYOTA Ipsum,2002,790272,200000 km,Petrol,Individual,Automatic,Second Owner
HYUNDAI Veloster,2011,1317204,115200 km,Petrol,Dealer,Tiptronic,Second Owner
CHEVROLET Lacetti,2009,751548,38254 km,Diesel,Dealer,Automatic,Fourth & Above Owner
NISSAN Tiida AXIS,2006,711228,139000 km,Petrol,Dealer,Variator,Fourth & Above Owner
TOYOTA Prius,2010,1396164,174000 km,Petrol,Dealer,Automatic,Third Owner
HYUNDAI Elantra,2015,1580628,56000 km,Petrol,Dealer,Tiptronic,Third Owner
SUBARU Forester,2014,26376,110098 km,Petrol,Dealer,Automatic,Second Owner
SUBARU Legacy,2000,289800,200000 km,CNG,Individual,Automatic,Third Owner
TOYOTA Prius,2011,1080072,116000 km,Hybrid,Individual,Variator,Fourth & Above Owner
MERCEDES-BENZ GLA 250,2017,210756,44477 km,Petrol,Dealer,Automatic,Third Owner
HYUNDAI Elantra,2010,874104,100963 km,Petrol,Dealer,Automatic,First Owner
CHEVROLET Cruze,2014,763980,52000 km,Petrol,Individual,Automatic,Fourth & Above Owner
MERCEDES-BENZ CLK 200,2001,658560,259000 km,Petrol,Dealer,Tiptronic,Second Owner
HONDA FIT,2013,805812,112405 km,Hybrid,Dealer,Automatic,Second Owner
MERCEDES-BENZ E 350,2010,1040592,189530 km,Diesel,Dealer,Automatic,Third Owner
HYUNDAI Sonata,2017,7896,130678 km,Petrol,Individual,Automatic,Fourth & Above Owner
TOYOTA Prius C,2012,1475208,192000 km,Petrol,Dealer,Automatic,Second Owner
TOYOTA Aqua,2012,816648,125000 km,Hybrid,Individual,Automatic,Second Owner
LEXUS CT 200h,2012,52668,192683 km,Hybrid,Dealer,Automatic,Fourth & Above Owner
HONDA FIT,2005,2520,145000 km,Petrol,Individual,Automatic,Fourth & Above Owner
SUZUKI Swift,2006,658560,19000 km,Petrol,Individual,Automatic,Second Owner
LEXUS GX 470,2011,32928,202048 km,Petrol,Dealer,Automatic,Third Owner
TOYOTA Prius,2007,1058400,170000 km,Hybrid,Individual,Automatic,Third Owner
FORD Fusion,2014,408324,124493 km,Hybrid,Dealer,Automatic,Third Owner
TOYOTA Aqua,2017,3578484,17247 km,Petrol,Individual,Automatic,First Owner
BMW 528,2016,4188576,32000 km,Petrol,Dealer,Tiptronic,Fourth & Above Owner
HYUNDAI Elantra,2013,1507128,196448 km,Petrol,Dealer,Automatic,Second Owner
HYUNDAI Santa FE,2011,1966272,176635 km,Diesel,Individual,Automatic,First Owner
HYUNDAI Sonata,2016,1580628,287140 km,LPG,Dealer,Automatic,Third Owner
TOYOTA Camry,2015,27720,0 km,Petrol,Dealer,Automatic,First Owner
LEXUS GX 470,2015,5874540,273493 km,Petrol,Individual,Automatic,Second Owner
MERCEDES-BENZ Sprinter,2005,1712340,245000 km,Diesel,Dealer,Manual,Second Owner
HYUNDAI H1,2010,1265292,52717 km,Diesel,Dealer,Automatic,Fourth & Above Owner
TOYOTA Prius,2012,52668,435560 km,Hybrid,Individual,Automatic,Third Owner
CHEVROLET Volt premier,2014,2054808,90000 km,Plug-in Hybrid,Individual,Variator,Third Owner
TOYOTA Prius,2012,1132740,0 km,Hybrid,Dealer,Automatic,First Owner
TOYOTA Highlander,2008,52668,277405 km,Hybrid,Dealer,Automatic,Third Owner
HYUNDAI Accent,2012,1165668,213131 km,Diesel,Individual,Automatic,First Owner
LEXUS RX 350,2008,2502612,73000 km,CNG,Individual,Automatic,Second Owner
MAZDA 1000,2015,98784,142800 km,Petrol,Dealer,Automatic,Second Owner
SSANGYONG REXTON,2016,4994976,43877 km,Diesel,Individual,Automatic,Second Owner
MERCEDES-BENZ E 300,2017,4715424,50963 km,Petrol,Dealer,Automatic,Second Owner
LEXUS GX 460,2010,3925152,260771 km,Petrol,Dealer,Automatic,Second Owner
MERCEDES-BENZ Viano,2007,3161172,145784 km,Diesel,Dealer,Manual,First Owner
LEXUS HS 250h,2010,2291856,169000 km,Hybrid,Dealer,Automatic,Second Owner
TOYOTA Highlander,2009,10920,180000 km,Hybrid,Dealer,Automatic,First Owner
LEXUS CT 200h F-sport,2014,1844052,192000 km,Hybrid,Individual,Variator,Second Owner
HYUNDAI Sonata,2013,1406244,149289 km,Petrol,Individual,Automatic,First Owner
CHEVROLET Cruze,2014,1132740,87000 km,Petrol,Individual,Tiptronic,First Owner
FORD Mondeo,1995,226800,135000 km,Petrol,Individual,Manual,First Owner
HYUNDAI Santa FE,2010,1868832,184554 km,Diesel,Dealer,Automatic,Third Owner
BMW 316 i,1996,474180,300000 km,Petrol,Dealer,Manual,First Owner
BUICK Century,2010,474180,158662 km,Petrol,Dealer,Automatic,First Owner
HONDA Insight,2010,210756,210758 km,Hybrid,Dealer,Automatic,Second Owner
MITSUBISHI L 200,2008,1975764,320582 km,Diesel,Individual,Manual,First Owner
HYUNDAI H1,2009,1805328,51273 km,Diesel,Dealer,Automatic,First Owner
CHEVROLET Cruze,2013,1369872,140000 km,Petrol,Dealer,Tiptronic,Fourth & Above Owner
JEEP Cherokee,1992,263424,4512 km,Petrol,Individual,Manual,Third Owner
TOYOTA Camry,2017,39480,58114 km,Petrol,Individual,Automatic,Fourth & Above Owner
NISSAN Pathfinder,2012,17136,110000 km,Petrol,Individual,Automatic,Second Owner
CHEVROLET Aveo,2011,39480,155536 km,Petrol,Individual,Automatic,Third Owner
FORD Focus SE,2015,1001028,85985 km,Petrol,Dealer,Tiptronic,Third Owner
MAZDA Mazda 3,2009,974736,181894 km,Petrol,Dealer,Tiptronic,Fourth & Above Owner
FORD Fusion,2013,2028432,70000 km,Hybrid,Individual,Automatic,Third Owner
TOYOTA Corolla,2010,32928,0 km,Petrol,Dealer,Automatic,Fourth & Above Owner
TOYOTA Prius,2010,1554252,162000 km,Petrol,Dealer,Automatic,First Owner
HONDA FIT,2004,737604,172000 km,Petrol,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Sonata,2015,869316,53341 km,LPG,Individual,Automatic,Third Owner
SUBARU Outback,2012,1027404,110000 km,Petrol,Dealer,Automatic,Third Owner
FORD Escape,2008,46116,451117 km,Hybrid,Individual,Automatic,Second Owner
SSANGYONG Actyon,2018,3467604,52349 km,Petrol,Dealer,Automatic,Second Owner
HYUNDAI Sonata,2014,883260,60850 km,LPG,Dealer,Automatic,Second Owner
LEXUS GX 470,2007,4320288,150000 km,Petrol,Dealer,Automatic,Second Owner
BMW 535,2014,1132740,98368 km,Diesel,Individual,Automatic,Third Owner
HONDA FIT,2013,1369872,128000 km,Hybrid,Dealer,Automatic,Second Owner
HYUNDAI Elantra,2016,2443896,54500 km,Petrol,Individual,Automatic,Fourth & Above Owner
HYUNDAI Tucson,2017,2370900,25000 km,Petrol,Individual,Automatic,First Owner
HONDA Civic,2016,2581656,66200 km,Petrol,Individual,Automatic,Third Owner
OPEL Omega 1,1995,126000,700000 km,Petrol,Dealer,Manual,Second Owner
MERCEDES-BENZ E 550,2006,2291856,134000 km,LPG,Dealer,Tiptronic,Third Owner
HONDA Civic,2003,447804,242000 km,Petrol,Dealer,Variator,Second Owner
MERCEDES-BENZ ML 350,2012,13188,245762 km,Diesel,Dealer,Automatic,Third Owner
TOYOTA Prius,2014,368844,151923 km,Hybrid,Individual,Automatic,Second Owner
HONDA FIT,2017,2596104,68000 km,Petrol,Individual,Automatic,First Owner
SSANGYONG Actyon,2011,1581384,181000 km,Diesel,Individual,Automatic,Second Owner
HYUNDAI H1,2014,2381988,151780 km,Diesel,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Elantra,2010,1268400,98578 km,Petrol,Individual,Automatic,Third Owner
SUBARU Legacy B4 twin turbo,2002,579516,169000 km,CNG,Dealer,Tiptronic,Third Owner
HYUNDAI Elantra,2017,46116,83845 km,Petrol,Individual,Automatic,Fourth & Above Owner
OPEL Corsa,2000,302988,300000 km,CNG,Dealer,Manual,Fourth & Above Owner
TOYOTA Prius,2011,15792,197328 km,Hybrid,Dealer,Automatic,First Owner
TOYOTA Prius,2006,869316,17778 km,Hybrid,Individual,Automatic,Third Owner
HYUNDAI Elantra,2013,1419096,131411 km,Petrol,Individual,Automatic,First Owner
BMW X5,2012,13188,296395 km,Diesel,Individual,Automatic,Third Owner
HYUNDAI Santa FE,2018,4454604,102934 km,Diesel,Individual,Automatic,Third Owner
LEXUS IS 250,2014,52668,126021 km,Petrol,Dealer,Automatic,First Owner
TOYOTA Prius,2012,1396164,137000 km,Hybrid,Individual,Variator,Third Owner
HYUNDAI H1,2014,3015768,117917 km,Diesel,Individual,Automatic,Third Owner
OPEL Combo,2002,474180,167000 km,Diesel,Individual,Manual,First Owner
TOYOTA Prius,2013,1975764,169600 km,Hybrid,Dealer,Automatic,Second Owner
HYUNDAI Elantra,2014,1001028,124226 km,Petrol,Dealer,Automatic,First Owner
CHEVROLET Spark,2013,1053696,93000 km,Petrol,Individual,Automatic,Third Owner
DODGE Avenger,2019,1014216,32453 km,Petrol,Dealer,Automatic,Fourth & Above Owner
BMW 740,1996,711228,14000 km,CNG,Individual,Tiptronic,Second Owner
LEXUS RX 450,2010,1119552,186005 km,Hybrid,Dealer,Automatic,Fourth & Above Owner
MERCEDES-BENZ Vito,2016,5005224,212000 km,Diesel,Dealer,Automatic,Second Owner
TOYOTA Prius,2004,3780,100000 km,Petrol,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Sonata,2010,1448916,101405 km,Petrol,Dealer,Tiptronic,Second Owner
HYUNDAI Santa FE,2018,8069964,5964 km,Diesel,Individual,Automatic,First Owner
AUDI A8,2006,756000,205000 km,Petrol,Individual,Tiptronic,Second Owner
NISSAN March,2014,491316,101537 km,Petrol,Individual,Automatic,Second Owner
FORD Escort,1992,142800,111111 km,Diesel,Dealer,Manual,Second Owner
MAZDA Atenza,2012,1080072,99000 km,Diesel,Individual,Tiptronic,Third Owner
TOYOTA Highlander,2010,474180,264877 km,Hybrid,Individual,Automatic,Fourth & Above Owner
TOYOTA Prius,2010,355656,158136 km,Hybrid,Individual,Automatic,First Owner
MERCEDES-BENZ Sprinter,2002,1185492,0 km,Diesel,Dealer,Manual,Fourth & Above Owner
TOYOTA Prius,2010,790272,200000 km,Hybrid,Dealer,Variator,Fourth & Above Owner
VOLKSWAGEN Tiguan,2011,1317204,268800 km,Petrol,Dealer,Manual,First Owner
MERCEDES-BENZ E 350,2011,1396164,119379 km,Diesel,Individual,Automatic,Third Owner
HYUNDAI Elantra,2014,1532160,206344 km,Diesel,Individual,Automatic,Second Owner
HYUNDAI Sonata,2012,1317204,100000 km,Petrol,Individual,Automatic,Third Owner
BMW X5,2012,13188,296395 km,Diesel,Dealer,Automatic,Third Owner
HYUNDAI Sonata,2013,177828,104046 km,Petrol,Dealer,Automatic,Second Owner
TOYOTA Camry,2014,46116,130478 km,Hybrid,Individual,Automatic,Fourth & Above Owner
TOYOTA Aqua,2012,882504,134000 km,Hybrid,Dealer,Variator,Second Owner
TOYOTA Camry Se,2013,1659588,124000 km,Petrol,Dealer,Tiptronic,First Owner
NISSAN Tiida,2005,632268,130000 km,Petrol,Dealer,Automatic,Second Owner
HONDA Civic,2016,2739660,20000 km,Petrol,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Tucson,2014,1738632,71101 km,Diesel,Individual,Automatic,Third Owner
OPEL Astra BERTONE,2001,658560,127000 km,Petrol,Dealer,Manual,Third Owner
SUBARU XV,2015,2634072,52000 km,Petrol,Dealer,Variator,Second Owner
MERCEDES-BENZ GLE 350,2018,2502612,9765 km,Petrol,Dealer,Automatic,First Owner
TOYOTA Prius,2015,1962576,128000 km,Hybrid,Dealer,Variator,Fourth & Above Owner
MERCEDES-BENZ E 220,2011,1185492,700000 km,Diesel,Individual,Manual,Third Owner
HYUNDAI Santa FE,2016,4204116,145329 km,Diesel,Individual,Automatic,Second Owner
LEXUS RX 450,2013,85596,138038 km,Hybrid,Dealer,Automatic,First Owner
MERCEDES-BENZ Vito,2009,3161172,315000 km,Diesel,Dealer,Manual,First Owner
TOYOTA Aqua,2013,869316,47000 km,Hybrid,Dealer,Automatic,Third Owner
TOYOTA Prius,2014,1738800,75621 km,Hybrid,Dealer,Automatic,Third Owner
BMW X5,2004,1817676,300000 km,Diesel,Dealer,Tiptronic,Fourth & Above Owner
CHEVROLET Cruze,2014,1053696,127816 km,Petrol,Dealer,Automatic,First Owner
MERCEDES-BENZ C 300,2016,223944,51725 km,Petrol,Individual,Automatic,Fourth & Above Owner
MERCEDES-BENZ ML 350,2011,13188,220323 km,Diesel,Dealer,Automatic,First Owner
CHEVROLET Lacetti,2010,896196,161629 km,Diesel,Individual,Automatic,First Owner
DAEWOO Lacetti,2009,495012,74429 km,Petrol,Individual,Automatic,Second Owner
NISSAN Tiida,2011,653352,98000 km,Petrol,Dealer,Automatic,Third Owner
FORD Focus,2013,974736,200000 km,Petrol,Individual,Automatic,First Owner
HONDA FIT Hbrid,2012,987840,96000 km,Hybrid,Individual,Automatic,Fourth & Above Owner
TOYOTA Tundra,2017,540036,190875 km,Petrol,Individual,Automatic,Third Owner
JEEP Cherokee,2017,4322136,109478 km,Petrol,Individual,Automatic,Fourth & Above Owner
SSANGYONG Actyon,2016,3684912,85134 km,Diesel,Individual,Automatic,Third Owner
TOYOTA Tacoma,2017,316092,174827 km,Petrol,Individual,Automatic,Third Owner
SSANGYONG REXTON,2011,2342676,70336 km,Diesel,Dealer,Automatic,First Owner
TOYOTA Camry,2010,3948,195613 km,Petrol,Individual,Automatic,Second Owner
TOYOTA Verso,2011,1448916,40000 km,Diesel,Individual,Manual,First Owner
MERCEDES-BENZ S 550,2007,3951528,185000 km,Petrol,Individual,Tiptronic,Third Owner
HYUNDAI Sonata,2014,711228,592541 km,LPG,Dealer,Automatic,First Owner
NISSAN Juke,2014,1659588,65600 km,Petrol,Individual,Tiptronic,First Owner
FORD Fiesta,2014,658560,66888 km,Petrol,Dealer,Automatic,Third Owner
SUZUKI Swift,2003,619080,0 km,Petrol,Individual,Manual,Third Owner
TOYOTA CHR,2018,526848,18754 km,Petrol,Dealer,Automatic,First Owner
FORD Transit,2007,1896720,160000 km,Diesel,Dealer,Manual,First Owner
VOLKSWAGEN Golf 6,2012,1633296,248000 km,Diesel,Individual,Manual,First Owner
VOLKSWAGEN Passat,2010,1132740,114000 km,Petrol,Individual,Tiptronic,Fourth & Above Owner
MERCEDES-BENZ Sprinter,2004,1290828,210000 km,Diesel,Dealer,Manual,First Owner
HYUNDAI Genesis,2011,1457820,112387 km,Petrol,Individual,Automatic,Fourth & Above Owner
VOLKSWAGEN Passat,2012,1501584,112000 km,Petrol,Dealer,Tiptronic,Second Owner
TOYOTA Camry,2012,32928,314373 km,Hybrid,Dealer,Automatic,Fourth & Above Owner
HONDA Insight,2010,210756,210758 km,Hybrid,Dealer,Automatic,First Owner
HYUNDAI Tucson,2010,2196516,72464 km,Diesel,Dealer,Automatic,Second Owner
CHEVROLET Captiva,2014,26376,119768 km,Petrol,Dealer,Automatic,Fourth & Above Owner
LEXUS RX 450,2016,5268648,59858 km,Hybrid,Individual,Automatic,Fourth & Above Owner
HYUNDAI Sonata,2015,2160144,47000 km,Petrol,Dealer,Tiptronic,Third Owner
TOYOTA RAV 4,2016,5400360,33500 km,Hybrid,Dealer,Automatic,Second Owner
MERCEDES-BENZ 230,1996,526848,4000000 km,CNG,Individual,Automatic,Third Owner
HYUNDAI Sonata,2014,893844,75346 km,LPG,Dealer,Automatic,Second Owner
HYUNDAI Elantra,2013,276612,121029 km,Petrol,Individual,Automatic,Fourth & Above Owner
FORD Transit,2003,1633296,181000 km,Diesel,Individual,Manual,Third Owner
HYUNDAI Sonata,2015,1693608,14368 km,Petrol,Individual,Automatic,First Owner
HYUNDAI Sonata,2015,1290828,283895 km,LPG,Dealer,Automatic,Fourth & Above Owner
PORSCHE Cayenne,2013,52668,313330 km,Diesel,Dealer,Automatic,Second Owner
SUBARU XV,2014,1317204,270472 km,Hybrid,Dealer,Automatic,Second Owner
NISSAN Bluebird,2002,355656,10000 km,Petrol,Individual,Tiptronic,Third Owner
MERCEDES-BENZ Vito,2002,843024,270000 km,Diesel,Dealer,Manual,Third Owner
TOYOTA Prius,2011,1580628,164800 km,Petrol,Individual,Variator,Second Owner
HYUNDAI Santa FE,2016,3424596,23216 km,Diesel,Dealer,Automatic,Fourth & Above Owner
TOYOTA Prius,2007,2520,198000 km,LPG,Individual,Tiptronic,Third Owner
HYUNDAI Tucson,2013,316092,53717 km,Petrol,Dealer,Automatic,First Owner
TOYOTA Land Cruiser Prado,2014,6533100,117000 km,Diesel,Dealer,Automatic,Second Owner
HYUNDAI Sonata,2016,1369872,410884 km,LPG,Dealer,Automatic,First Owner
SUBARU Forester,2012,26376,204579 km,Petrol,Individual,Automatic,Second Owner
LEXUS GX 460,2012,4372956,229334 km,Petrol,Individual,Automatic,First Owner
BMW 318,1997,395136,211000 km,Petrol,Dealer,Automatic,Fourth & Above Owner
LEXUS CT 200h,2013,2186520,153600 km,Hybrid,Dealer,Automatic,Second Owner
MITSUBISHI Colt,2002,500556,209000 km,Petrol,Individual,Automatic,Fourth & Above Owner
TOYOTA Camry,2007,1428000,220800 km,Hybrid,Individual,Automatic,Third Owner
OPEL Corsa,1997,294000,11111 km,Petrol,Individual,Manual,Second Owner
CHEVROLET Captiva,2008,1527876,72000 km,Diesel,Dealer,Tiptronic,Fourth & Above Owner
HYUNDAI Santa FE,2013,2370648,53729 km,Diesel,Individual,Automatic,First Owner
NISSAN Juke,2016,177828,181997 km,Petrol,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Santa FE,2017,4515756,140097 km,Diesel,Individual,Automatic,Second Owner
VOLKSWAGEN Jetta,2011,1369872,169600 km,LPG,Dealer,Tiptronic,Fourth & Above Owner
SSANGYONG REXTON,2015,3584028,110000 km,Diesel,Individual,Automatic,First Owner
HYUNDAI Sonata,2012,579516,85471 km,LPG,Individual,Automatic,First Owner
BMW 120,2004,790272,100000 km,Petrol,Individual,Tiptronic,First Owner
MAZDA Mazda 3,2005,711228,65000 km,Petrol,Individual,Tiptronic,Third Owner
HYUNDAI Sonata,2016,1304520,290850 km,LPG,Individual,Automatic,Second Owner
SUZUKI Swift,2006,658560,130000 km,Petrol,Dealer,Manual,First Owner
MERCEDES-BENZ CLS 500,2005,1712340,230000 km,Petrol,Individual,Tiptronic,Third Owner
HYUNDAI Santa FE,2016,2515800,50079 km,Diesel,Individual,Automatic,First Owner
MERCEDES-BENZ CLK 230 .,2000,684936,290000 km,Petrol,Individual,Tiptronic,Fourth & Above Owner
SUZUKI Liana,2005,790272,162000 km,Diesel,Dealer,Manual,Second Owner
TOYOTA Aqua,2013,921984,64000 km,Hybrid,Individual,Variator,Fourth & Above Owner
KIA Picanto,2016,1527876,41370 km,Petrol,Dealer,Automatic,Third Owner
TOYOTA Prius,2012,26376,418667 km,Hybrid,Individual,Automatic,Fourth & Above Owner
SUBARU Legacy,2011,1211784,185000 km,LPG,Individual,Tiptronic,Fourth & Above Owner
BMW 530,2004,1369872,231000 km,Petrol,Dealer,Automatic,First Owner
LEXUS ES 300,2019,46116,13362 km,Hybrid,Individual,Automatic,Fourth & Above Owner
MERCEDES-BENZ C 280,1997,447804,100000 km,Petrol,Dealer,Automatic,First Owner
BMW X5,2012,18480,273962 km,Diesel,Dealer,Automatic,First Owner
TOYOTA Aqua,2012,895692,125000 km,Hybrid,Individual,Variator,Second Owner
MITSUBISHI Pajero,2009,869316,138650 km,Petrol,Dealer,Manual,Third Owner
TOYOTA Alphard,2005,1448916,251000 km,LPG,Individual,Automatic,Third Owner
KIA RIO,2013,46116,171733 km,Petrol,Individual,Automatic,Third Owner
OPEL Zafira,2002,737604,0 km,CNG,Dealer,Manual,First Owner
TOYOTA Camry,2014,191016,128739 km,Hybrid,Dealer,Automatic,Third Owner
LEXUS CT 200h,2014,2370900,134131 km,Hybrid,Dealer,Automatic,First Owner
TOYOTA Camry,2012,302988,156518 km,Hybrid,Dealer,Automatic,Second Owner
KIA Optima,2016,2370900,35200 km,Petrol,Individual,Tiptronic,Third Owner
CHEVROLET Cruze,2015,1448916,37000 km,Petrol,Individual,Automatic,First Owner
VOLKSWAGEN Passat,2003,579516,180000 km,Petrol,Dealer,Manual,Third Owner
HYUNDAI Elantra,2015,1448916,88830 km,Petrol,Individual,Automatic,Third Owner
HONDA Passport,1998,579516,0 km,Petrol,Individual,Automatic,Second Owner
MITSUBISHI ColtPlus,2006,646800,175000 km,Petrol,Individual,Automatic,Fourth & Above Owner
TOYOTA Highlander,2008,1896720,189000 km,Hybrid,Individual,Variator,Third Owner
HYUNDAI Tucson,2017,3155376,202758 km,Diesel,Dealer,Automatic,Second Owner
DAEWOO Lacetti,2009,351120,159634 km,Petrol,Dealer,Automatic,Third Owner
HYUNDAI Tucson,2011,1265292,58401 km,Diesel,Individual,Automatic,Third Owner
BMW X6,2013,316092,218518 km,Petrol,Dealer,Automatic,Third Owner
BMW X5,2012,18480,273962 km,Diesel,Dealer,Automatic,Third Owner
HYUNDAI Santa FE,2015,3941196,117000 km,Diesel,Dealer,Automatic,Fourth & Above Owner
LEXUS NX 200,2017,553224,14813 km,Petrol,Individual,Automatic,Fourth & Above Owner
MAZDA MPV,2001,447804,192000 km,CNG,Individual,Automatic,Third Owner
NISSAN Juke,2012,1545600,0 km,Petrol,Individual,Automatic,Third Owner
FORD Focus,2018,111972,107664 km,Petrol,Dealer,Automatic,Second Owner
TOYOTA Highlander,2010,474180,345405 km,Hybrid,Individual,Automatic,Second Owner
TOYOTA Prius,2012,1580628,288000 km,Hybrid,Individual,Variator,First Owner
TOYOTA Aqua,2014,1701000,86400 km,Hybrid,Dealer,Automatic,Fourth & Above Owner
TOYOTA Prius,2011,1448916,188800 km,Hybrid,Individual,Variator,Third Owner
HYUNDAI Sonata,2015,777168,411260 km,LPG,Individual,Automatic,Fourth & Above Owner
TOYOTA Camry,2013,355656,26918 km,Hybrid,Dealer,Automatic,Second Owner
AUDI A4 S line,2013,2739660,69000 km,Petrol,Dealer,Tiptronic,Fourth & Above Owner
TOYOTA Camry XLE,2016,3819732,143388 km,Hybrid,Dealer,Variator,Fourth & Above Owner
HYUNDAI Sonata hybrid,2012,1185492,157000 km,Hybrid,Individual,Tiptronic,Third Owner
BUICK Century,2013,395136,146552 km,Petrol,Individual,Automatic,Third Owner
TOYOTA Camry,2010,1053696,152000 km,Petrol,Individual,Manual,Second Owner
FORD Sierra,1988,50400,300000 km,Petrol,Dealer,Manual,Third Owner
HYUNDAI Accent,2013,1185492,136000 km,Petrol,Dealer,Tiptronic,Second Owner
HYUNDAI H1,2014,3071628,106533 km,Diesel,Individual,Automatic,Second Owner
TOYOTA Camry,2015,2370900,110734 km,Petrol,Individual,Automatic,First Owner
MERCEDES-BENZ C 180,1997,605892,11111111 km,Petrol,Dealer,Manual,First Owner
TOYOTA Aqua,2013,869316,970000 km,Hybrid,Dealer,Variator,First Owner
HYUNDAI H1,2014,2652804,96893 km,Diesel,Dealer,Automatic,Fourth & Above Owner
CHEVROLET Spark,2014,816648,41984 km,Petrol,Dealer,Automatic,First Owner
JEEP Compass,2012,32928,0 km,Petrol,Individual,Automatic,Third Owner
JEEP Liberty,2012,1527876,124670 km,Petrol,Dealer,Automatic,Third Owner
LEXUS ES 300,2014,1211784,176213 km,Hybrid,Individual,Automatic,First Owner
MERCEDES-BENZ E 350,2016,131712,77205 km,Diesel,Individual,Automatic,Fourth & Above Owner
LEXUS ES 350,2010,105336,187144 km,Petrol,Individual,Automatic,Second Owner
TOYOTA Prius,2006,974736,174000 km,Hybrid,Dealer,Variator,Fourth & Above Owner
TOYOTA Prius,2013,1554252,51000 km,Hybrid,Dealer,Automatic,Fourth & Above Owner
CHEVROLET Orlando,2017,3040548,65124 km,Diesel,Dealer,Automatic,Second Owner
KIA Optima,2013,1659588,124000 km,Petrol,Dealer,Tiptronic,Second Owner
OPEL Corsa,2008,869316,170000 km,Diesel,Individual,Manual,Second Owner
VOLKSWAGEN Golf,2013,1343496,103000 km,Petrol,Dealer,Tiptronic,Third Owner
HYUNDAI H1,2009,1844052,120000 km,Diesel,Dealer,Tiptronic,Second Owner
KIA Carnival,2006,948360,171000 km,Diesel,Individual,Manual,Second Owner
TOYOTA Camry SE,2018,3213840,41068 km,Petrol,Dealer,Automatic,Fourth & Above Owner
TOYOTA Aqua,2013,816648,143000 km,Hybrid,Individual,Automatic,Fourth & Above Owner
LEXUS RX 350,2012,526848,232357 km,Petrol,Individual,Automatic,First Owner
TOYOTA Highlander,2011,1817676,368064 km,Hybrid,Individual,Automatic,Fourth & Above Owner
BMW X5,2010,3240216,248000 km,Diesel,Individual,Tiptronic,Second Owner
HYUNDAI Elantra,2015,1724184,75000 km,Petrol,Individual,Automatic,Third Owner
VOLKSWAGEN Jetta,2017,2239188,50000 km,Petrol,Individual,Tiptronic,Fourth & Above Owner
MERCEDES-BENZ Viano,2013,4478376,250000 km,Diesel,Individual,Tiptronic,Fourth & Above Owner
HONDA Fit Aria,2003,588000,140203 km,Petrol,Individual,Automatic,Second Owner
MAZDA 1000,2018,3161172,42246 km,Petrol,Dealer,Automatic,Fourth & Above Owner
TOYOTA ISIS,2006,763980,204000 km,Petrol,Dealer,Variator,Fourth & Above Owner
TOYOTA Highlander,2009,1014216,420550 km,Hybrid,Dealer,Automatic,Second Owner
HYUNDAI Elantra,2016,1797180,144889 km,Petrol,Dealer,Automatic,Fourth & Above Owner
HYUNDAI Tucson,2007,1659588,199000 km,Petrol,Individual,Tiptronic,Third Owner
